sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency	NP1	NP2	pronoun
1	1	expected	John abandoned David because he	4	abandoned	low	2	John	David	he
2	1	unexpected	Mary abandoned David because he	4	abandoned	low	2	Mary	David	he
3	2	expected	John abandoned David because he	4	abandoned	low	2	John	David	he
4	2	unexpected	Sarah abandoned David because he	4	abandoned	low	2	Sarah	David	he
5	3	expected	John abandoned Mary because he	4	abandoned	low	2	John	Mary	he
6	3	unexpected	Sarah abandoned Mary because he	4	abandoned	low	2	Sarah	Mary	he
7	4	expected	John abandoned Sarah because he	4	abandoned	low	2	John	Sarah	he
8	4	unexpected	Mary abandoned Sarah because he	4	abandoned	low	2	Mary	Sarah	he
9	5	expected	David abandoned John because he	4	abandoned	low	2	David	John	he
10	5	unexpected	Mary abandoned John because he	4	abandoned	low	2	Mary	John	he
11	6	expected	David abandoned John because he	4	abandoned	low	2	David	John	he
12	6	unexpected	Sarah abandoned John because he	4	abandoned	low	2	Sarah	John	he
13	7	expected	David abandoned Mary because he	4	abandoned	low	2	David	Mary	he
14	7	unexpected	Sarah abandoned Mary because he	4	abandoned	low	2	Sarah	Mary	he
15	8	expected	David abandoned Sarah because he	4	abandoned	low	2	David	Sarah	he
16	8	unexpected	Mary abandoned Sarah because he	4	abandoned	low	2	Mary	Sarah	he
17	9	expected	Mary abandoned John because she	4	abandoned	low	2	Mary	John	she
18	9	unexpected	David abandoned John because she	4	abandoned	low	2	David	John	she
19	10	expected	Mary abandoned David because she	4	abandoned	low	2	Mary	David	she
20	10	unexpected	John abandoned David because she	4	abandoned	low	2	John	David	she
21	11	expected	Mary abandoned Sarah because she	4	abandoned	low	2	Mary	Sarah	she
22	11	unexpected	John abandoned Sarah because she	4	abandoned	low	2	John	Sarah	she
23	12	expected	Mary abandoned Sarah because she	4	abandoned	low	2	Mary	Sarah	she
24	12	unexpected	David abandoned Sarah because she	4	abandoned	low	2	David	Sarah	she
25	13	expected	Sarah abandoned John because she	4	abandoned	low	2	Sarah	John	she
26	13	unexpected	David abandoned John because she	4	abandoned	low	2	David	John	she
27	14	expected	Sarah abandoned David because she	4	abandoned	low	2	Sarah	David	she
28	14	unexpected	John abandoned David because she	4	abandoned	low	2	John	David	she
29	15	expected	Sarah abandoned Mary because she	4	abandoned	low	2	Sarah	Mary	she
30	15	unexpected	John abandoned Mary because she	4	abandoned	low	2	John	Mary	she
31	16	expected	Sarah abandoned Mary because she	4	abandoned	low	2	Sarah	Mary	she
32	16	unexpected	David abandoned Mary because she	4	abandoned	low	2	David	Mary	she
33	17	expected	John abashed David because he	4	abashed	low	0	John	David	he
34	17	unexpected	Mary abashed David because he	4	abashed	low	0	Mary	David	he
35	18	expected	John abashed David because he	4	abashed	low	0	John	David	he
36	18	unexpected	Sarah abashed David because he	4	abashed	low	0	Sarah	David	he
37	19	expected	John abashed Mary because he	4	abashed	low	0	John	Mary	he
38	19	unexpected	Sarah abashed Mary because he	4	abashed	low	0	Sarah	Mary	he
39	20	expected	John abashed Sarah because he	4	abashed	low	0	John	Sarah	he
40	20	unexpected	Mary abashed Sarah because he	4	abashed	low	0	Mary	Sarah	he
41	21	expected	David abashed John because he	4	abashed	low	0	David	John	he
42	21	unexpected	Mary abashed John because he	4	abashed	low	0	Mary	John	he
43	22	expected	David abashed John because he	4	abashed	low	0	David	John	he
44	22	unexpected	Sarah abashed John because he	4	abashed	low	0	Sarah	John	he
45	23	expected	David abashed Mary because he	4	abashed	low	0	David	Mary	he
46	23	unexpected	Sarah abashed Mary because he	4	abashed	low	0	Sarah	Mary	he
47	24	expected	David abashed Sarah because he	4	abashed	low	0	David	Sarah	he
48	24	unexpected	Mary abashed Sarah because he	4	abashed	low	0	Mary	Sarah	he
49	25	expected	Mary abashed John because she	4	abashed	low	0	Mary	John	she
50	25	unexpected	David abashed John because she	4	abashed	low	0	David	John	she
51	26	expected	Mary abashed David because she	4	abashed	low	0	Mary	David	she
52	26	unexpected	John abashed David because she	4	abashed	low	0	John	David	she
53	27	expected	Mary abashed Sarah because she	4	abashed	low	0	Mary	Sarah	she
54	27	unexpected	John abashed Sarah because she	4	abashed	low	0	John	Sarah	she
55	28	expected	Mary abashed Sarah because she	4	abashed	low	0	Mary	Sarah	she
56	28	unexpected	David abashed Sarah because she	4	abashed	low	0	David	Sarah	she
57	29	expected	Sarah abashed John because she	4	abashed	low	0	Sarah	John	she
58	29	unexpected	David abashed John because she	4	abashed	low	0	David	John	she
59	30	expected	Sarah abashed David because she	4	abashed	low	0	Sarah	David	she
60	30	unexpected	John abashed David because she	4	abashed	low	0	John	David	she
61	31	expected	Sarah abashed Mary because she	4	abashed	low	0	Sarah	Mary	she
62	31	unexpected	John abashed Mary because she	4	abashed	low	0	John	Mary	she
63	32	expected	Sarah abashed Mary because she	4	abashed	low	0	Sarah	Mary	she
64	32	unexpected	David abashed Mary because she	4	abashed	low	0	David	Mary	she
65	33	expected	John abhorred David because he	4	abhorred	low	3	John	David	he
66	33	unexpected	Mary abhorred David because he	4	abhorred	low	3	Mary	David	he
67	34	expected	John abhorred David because he	4	abhorred	low	3	John	David	he
68	34	unexpected	Sarah abhorred David because he	4	abhorred	low	3	Sarah	David	he
69	35	expected	John abhorred Mary because he	4	abhorred	low	3	John	Mary	he
70	35	unexpected	Sarah abhorred Mary because he	4	abhorred	low	3	Sarah	Mary	he
71	36	expected	John abhorred Sarah because he	4	abhorred	low	3	John	Sarah	he
72	36	unexpected	Mary abhorred Sarah because he	4	abhorred	low	3	Mary	Sarah	he
73	37	expected	David abhorred John because he	4	abhorred	low	3	David	John	he
74	37	unexpected	Mary abhorred John because he	4	abhorred	low	3	Mary	John	he
75	38	expected	David abhorred John because he	4	abhorred	low	3	David	John	he
76	38	unexpected	Sarah abhorred John because he	4	abhorred	low	3	Sarah	John	he
77	39	expected	David abhorred Mary because he	4	abhorred	low	3	David	Mary	he
78	39	unexpected	Sarah abhorred Mary because he	4	abhorred	low	3	Sarah	Mary	he
79	40	expected	David abhorred Sarah because he	4	abhorred	low	3	David	Sarah	he
80	40	unexpected	Mary abhorred Sarah because he	4	abhorred	low	3	Mary	Sarah	he
81	41	expected	Mary abhorred John because she	4	abhorred	low	3	Mary	John	she
82	41	unexpected	David abhorred John because she	4	abhorred	low	3	David	John	she
83	42	expected	Mary abhorred David because she	4	abhorred	low	3	Mary	David	she
84	42	unexpected	John abhorred David because she	4	abhorred	low	3	John	David	she
85	43	expected	Mary abhorred Sarah because she	4	abhorred	low	3	Mary	Sarah	she
86	43	unexpected	John abhorred Sarah because she	4	abhorred	low	3	John	Sarah	she
