sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency	NP1	NP2	pronoun
1	1	expected	John abandoned David because he	4	abandoned	low	2	John	David	he
2	1	unexpected	Mary abandoned David because he	4	abandoned	low	2	John	Mary	he
3	2	expected	John abandoned David because he	4	abandoned	low	2	John	David	he
4	2	unexpected	Sarah abandoned David because he	4	abandoned	low	2	John	Sarah	he
5	3	expected	David abandoned John because he	4	abandoned	low	2	David	John	he
6	3	unexpected	Mary abandoned John because he	4	abandoned	low	2	David	Mary	he
7	4	expected	David abandoned John because he	4	abandoned	low	2	David	John	he
8	4	unexpected	Sarah abandoned John because he	4	abandoned	low	2	David	Sarah	he
9	5	expected	Mary abandoned Sarah because she	4	abandoned	low	2	Mary	Sarah	she
10	5	unexpected	John abandoned Sarah because she	4	abandoned	low	2	Mary	John	she
11	6	expected	Mary abandoned Sarah because she	4	abandoned	low	2	Mary	Sarah	she
12	6	unexpected	David abandoned Sarah because she	4	abandoned	low	2	Mary	David	she
13	7	expected	Sarah abandoned Mary because she	4	abandoned	low	2	Sarah	Mary	she
14	7	unexpected	John abandoned Mary because she	4	abandoned	low	2	Sarah	John	she
15	8	expected	Sarah abandoned Mary because she	4	abandoned	low	2	Sarah	Mary	she
16	8	unexpected	David abandoned Mary because she	4	abandoned	low	2	Sarah	David	she
17	9	expected	John abashed David because he	4	abashed	low	0	John	David	he
18	9	unexpected	Mary abashed David because he	4	abashed	low	0	John	Mary	he
19	10	expected	John abashed David because he	4	abashed	low	0	John	David	he
20	10	unexpected	Sarah abashed David because he	4	abashed	low	0	John	Sarah	he
21	11	expected	David abashed John because he	4	abashed	low	0	David	John	he
22	11	unexpected	Mary abashed John because he	4	abashed	low	0	David	Mary	he
23	12	expected	David abashed John because he	4	abashed	low	0	David	John	he
24	12	unexpected	Sarah abashed John because he	4	abashed	low	0	David	Sarah	he
25	13	expected	Mary abashed Sarah because she	4	abashed	low	0	Mary	Sarah	she
26	13	unexpected	John abashed Sarah because she	4	abashed	low	0	Mary	John	she
27	14	expected	Mary abashed Sarah because she	4	abashed	low	0	Mary	Sarah	she
28	14	unexpected	David abashed Sarah because she	4	abashed	low	0	Mary	David	she
29	15	expected	Sarah abashed Mary because she	4	abashed	low	0	Sarah	Mary	she
30	15	unexpected	John abashed Mary because she	4	abashed	low	0	Sarah	John	she
31	16	expected	Sarah abashed Mary because she	4	abashed	low	0	Sarah	Mary	she
32	16	unexpected	David abashed Mary because she	4	abashed	low	0	Sarah	David	she
33	17	expected	John abhorred David because he	4	abhorred	low	3	John	David	he
